temperature,humidity,wind_speed,rainfall,drought_index,ndvi,slope,elevation,distance_to_road,population_density,month,is_dry_season,fire_occurred
23.11,67.18,32.41,3.673,523.4,0.4997,29.06,1942.6,20.6,432.3,11,0,1
43.28,77.72,8.62,1.118,64.0,0.6974,18.11,1228.8,14.08,13.1,6,1,1
35.62,31.29,43.62,1.936,193.9,0.5501,21.24,1982.9,1.77,455.5,1,0,0
30.95,63.11,30.66,0.859,618.9,0.1666,32.25,230.1,27.56,152.9,6,1,1
15.46,58.6,7.86,1.492,422.9,0.2485,39.43,519.4,29.41,254.1,4,1,1
15.46,80.79,48.12,0.625,742.4,0.2755,12.25,1401.3,12.99,66.1,4,1,1
12.03,87.02,25.92,0.537,343.0,0.3063,15.39,2370.4,18.45,451.1,5,1,0
40.32,11.03,3.64,1.295,695.8,0.5523,41.88,233.2,13.56,374.9,9,1,1
31.04,67.29,31.34,1.034,359.2,0.5032,26.03,155.6,9.72,462.1,1,0,1
34.78,14.41,12.66,1.3,783.4,0.2625,8.05,433.5,2.41,341.6,3,0,1
10.72,56.65,40.18,0.507,767.9,0.154,29.87,1620.8,13.74,92.3,11,0,1
43.95,34.45,40.89,0.686,263.3,0.2371,44.58,1027.5,24.57,154.1,4,1,1
39.14,36.08,48.95,0.131,708.7,0.8875,37.06,2072.6,0.61,243.4,2,0,1
17.43,40.0,25.09,0.081,678.1,0.4748,33.56,226.2,17.51,303.6,9,1,1
16.36,62.81,22.75,0.438,168.5,0.7939,9.36,531.2,26.44,463.2,11,0,0
16.42,38.39,37.67,0.116,499.4,0.779,39.43,785.1,6.6,192.0,7,1,1
20.65,72.28,6.62,0.164,58.1,0.5092,23.66,1585.5,5.58,351.5,1,0,0
28.37,44.38,27.35,2.514,669.4,0.6654,40.02,1728.7,23.19,480.5,9,1,1
25.12,15.81,27.31,0.059,139.6,0.2542,14.84,354.3,7.73,76.2,6,1,1
20.19,76.62,4.47,1.614,56.7,0.6507,2.79,2362.3,5.84,431.4,2,0,0
31.41,34.29,20.9,0.477,320.2,0.3179,21.42,885.6,11.4,210.4,1,0,1
14.88,46.79,42.66,3.078,461.5,0.7656,12.14,1797.3,11.84,366.2,6,1,1
20.23,68.26,42.81,0.995,683.9,0.167,32.19,1334.3,26.24,146.8,7,1,1
22.82,38.26,4.96,0.547,779.4,0.7185,43.07,595.8,18.59,167.0,10,0,1
25.96,14.81,4.54,1.094,351.6,0.1799,31.09,2123.3,12.24,13.6,6,1,1
37.48,41.78,13.13,0.722,48.4,0.805,39.91,2054.7,16.08,485.7,7,1,1
16.99,90.28,43.74,1.246,599.3,0.3434,20.39,1020.4,28.62,406.7,6,1,1
28.0,64.55,6.45,0.182,452.1,0.6235,34.72,1492.1,3.49,47.0,8,1,0
30.73,67.08,36.0,8.709,358.3,0.49,37.94,681.7,6.31,499.8,2,0,1
11.63,63.74,5.06,0.832,247.4,0.393,31.99,1740.1,28.88,302.5,9,1,0
31.26,26.91,31.16,0.642,401.9,0.6164,22.85,807.1,28.72,426.9,9,1,1
15.97,45.56,17.8,1.858,270.9,0.858,28.16,2118.0,5.4,33.3,11,0,1
12.28,73.83,39.45,0.679,605.6,0.133,31.52,582.6,4.44,194.7,9,1,0
43.21,18.62,11.68,2.687,435.1,0.8351,11.39,86.3,12.69,334.8,7,1,1
43.8,33.62,31.96,0.908,701.5,0.5873,36.43,707.8,1.59,53.2,9,1,1
38.29,33.49,11.78,1.907,434.8,0.7459,42.76,518.1,19.68,244.5,1,0,1
20.66,46.72,35.68,0.171,190.6,0.4071,20.94,1295.3,2.42,221.3,3,0,0
13.42,93.33,43.68,2.807,680.9,0.4775,31.55,549.1,1.84,108.0,2,0,0
33.95,15.74,6.34,1.996,445.8,0.7951,33.17,1919.8,14.61,150.1,11,0,1
25.41,54.09,43.33,0.357,165.5,0.4319,29.8,641.4,28.74,483.6,1,0,1
14.27,25.25,29.68,0.235,498.8,0.5277,24.62,1782.1,12.86,144.3,5,1,1
27.33,92.51,6.36,0.57,286.2,0.1162,39.67,1467.3,10.76,106.7,1,0,0
11.2,19.63,21.38,5.599,675.5,0.2269,20.2,2466.3,29.94,268.1,3,0,1
41.83,44.31,8.04,0.445,362.6,0.6133,2.75,2499.8,16.01,335.5,6,1,1
19.06,72.72,35.02,0.914,581.2,0.6736,38.01,2180.3,11.32,362.5,6,1,1
33.19,69.89,37.94,0.046,76.4,0.5661,30.33,1912.0,11.64,377.1,3,0,1
20.91,45.93,5.29,0.759,316.8,0.2146,38.22,996.8,5.93,18.4,4,1,0
28.2,39.45,25.31,1.271,786.6,0.4563,6.23,1895.5,15.42,196.9,7,1,1
29.13,43.8,40.73,4.59,646.8,0.3841,1.38,2393.9,13.22,387.0,6,1,1
16.47,32.46,46.81,1.091,128.0,0.4965,42.05,107.3,8.2,452.4,11,0,1
43.94,27.45,25.68,2.565,222.2,0.7963,6.65,1367.9,4.9,301.1,2,0,1
37.13,51.06,47.51,1.188,263.9,0.7207,36.43,584.1,9.41,26.2,9,1,1
42.88,32.83,26.78,0.062,520.3,0.1672,37.04,1416.8,15.31,198.3,6,1,1
41.32,34.43,19.71,0.568,605.6,0.8122,31.89,1192.8,1.84,37.1,2,0,1
30.93,65.82,42.41,1.285,599.6,0.4774,5.91,1460.6,4.7,374.3,7,1,1
42.27,92.33,24.65,4.512,407.9,0.6951,30.03,1399.9,28.43,31.8,11,0,0
13.1,61.31,23.6,2.94,648.7,0.212,40.01,2402.3,16.33,92.9,11,0,0
16.86,16.54,24.52,0.389,349.7,0.6366,19.15,1402.9,2.0,208.5,10,0,1
11.58,16.42,42.34,0.373,99.1,0.2891,18.61,2123.3,20.82,231.3,10,0,1
21.39,90.87,41.6,0.337,451.6,0.4507,19.93,833.6,1.95,203.2,4,1,0
